time,cumate,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
11.41611111,0,0.247322222,69.66666667,284.8952038,0.046487743,17.1119154,0.014701113,2.682246157,7.892330027,0.013492077,4.400439646
11.70166667,0,0.250111111,70.66666667,285.5425664,0.031570035,7.052880368,0.014533978,2.687419249,7.625958868,0.010541363,2.252883068
11.98694444,0,0.2528,71.55555556,285.3979795,0.029531504,9.484560014,0.013763266,2.744242008,6.9401821,0.013187518,3.888309766
12.2725,0,0.254722222,72.33333333,286.1594654,0.051084239,22.23430169,0.013522489,2.768874621,7.043723291,0.017809288,4.919806338
12.55777778,0,0.256722222,73.22222222,287.5011708,0.073522912,23.01627253,0.013614889,2.747614004,7.314072223,0.024612745,7.992592929
12.84333333,0,0.260088889,74,286.2691131,0.070794608,25.04686431,0.012820041,2.773886163,6.897584314,0.031613866,5.99257475
13.12861111,0,0.262022222,75.22222222,288.6551535,0.088640955,18.97974031,0.012386706,2.747614004,6.718971911,0.034356648,6.579017623
13.41416667,0,0.2626,76.11111111,291.5387157,0.114537646,28.51305201,0.012531771,2.884077189,7.892167451,0.047959955,7.705038151
13.69944444,0,0.266577778,76.66666667,288.8575358,0.128601498,42.66778785,0.01178181,2.852873795,7.349503318,0.047413952,13.0811801
13.98472222,0,0.269822222,77.77777778,289.3681197,0.15544048,36.70150735,0.011246231,2.807617504,7.349943511,0.056071564,13.7246353
14.27027778,0,0.271644444,78.33333333,289.350574,0.169688603,38.56743494,0.010773993,2.783882181,7.42980733,0.043961784,12.32418973
14.55555556,0,0.272311111,79.44444444,292.8047847,0.13524011,40.86792536,0.010969471,2.799360597,7.524602742,0.043466167,15.41048837
0,125,0.086044444,9,104.989767,0.4483792,193.6507243,0.001860116,0,2.273481093,0.087148347,130.8396694
0.285555556,125,0.091544444,14,153.9772846,0.438676332,136.3691071,0.002893677,0.166666667,4.495578437,0.042027355,151.4711341
0.571111111,125,0.096688889,24,245.9103382,0.510332849,51.57060139,0.002509175,1.833333333,12.47722557,0.075292002,145.5420213
0.856388889,125,0.1074,37.77777778,344.6344099,0.453845407,23.71623015,0.003670415,4.443402656,28.95766105,0.060812133,113.5012931
1.141944444,125,0.121144444,51.55555556,416.2367514,0.477103699,-12.13652693,0.004991774,7.031893832,42.344327,0.076725955,82.17511011
1.427222222,125,0.139133333,64.77777778,458.0669987,0.362705315,-62.20158959,0.007354553,9.235766493,49.46589642,0.062642262,52.5702094
1.712777778,125,0.157244444,85,537.273759,0.295455241,-89.28329262,0.009770905,11.21135337,52.93383132,0.069308601,16.78077701
1.998055556,125,0.1784,90.55555556,510.314204,0.176236146,-68.29675142,0.012537809,11.80879041,52.09014121,0.048169855,12.31071845
2.283611111,125,0.197433333,88.55555556,456.6162581,0.107562352,-47.06253486,0.01373393,10.6824247,47.68053621,0.028635079,9.130486165
2.568888889,125,0.2099,82,400.7266794,0.087502119,-20.55291765,0.013879381,8.914719414,41.68265541,0.025732748,9.038228307
2.854166667,125,0.216744444,74.11111111,351.4698428,0.132491479,-6.212636674,0.013665214,6.824067792,33.84339843,0.029723186,9.178041615
3.139722222,125,0.229155556,67.11111111,303.4604289,0.13906483,10.76070408,0.01593689,5.138213169,27.84194742,0.044080176,4.125964969
3.425,125,0.238977778,62.55555556,273.5330289,0.106871817,11.47666845,0.017781481,3.727194026,24.34661413,0.032994454,4.820554969
3.710555556,125,0.249722222,59.44444444,251.9511471,0.085411956,15.1367311,0.020448518,2.566402103,23.17239638,0.024512811,2.381442063
3.995833333,125,0.257255556,57.77777778,238.8691417,0.10162718,21.48852352,0.022310318,1.831649058,21.51667177,0.024244942,4.581880395
4.281388889,125,0.268688889,57.22222222,227.1639306,0.072217437,16.94231176,0.023854102,1.199279619,20.500717,0.016063723,3.97468265
4.566666667,125,0.276433333,57.22222222,220.2216559,0.069843416,25.93733938,0.024582441,0.878410461,18.92243552,0.019637793,2.655713072
4.851944444,125,0.281922222,58.66666667,221.2522319,0.061360626,20.66768039,0.02553988,0.726483157,18.32498898,0.013395545,3.679693702
5.1375,125,0.2864,59.55555556,220.695762,0.055414141,22.46278117,0.026262516,0.86780552,17.59077081,0.01489402,4.100158499
5.422777778,125,0.294366667,60.77777778,219.2441412,0.048724054,23.23395039,0.027155749,0.924628721,17.57042118,0.017137002,2.550898597
5.708333333,125,0.299344444,62.33333333,219.7489016,0.027529671,20.11886292,0.026697238,1.027402334,16.30275142,0.01293814,2.683702269
5.993611111,125,0.301655556,64.22222222,224.1804154,0.046942751,21.90724472,0.026949959,1.244742028,15.97468464,0.010477668,3.662245484
6.279166667,125,0.305,65.88888889,227.9151616,0.039859442,19.58364786,0.027419802,1.20697561,16.7759776,0.014480796,2.596891013
6.564444444,125,0.311277778,67.44444444,228.0435044,0.016915718,22.40025233,0.027820799,1.375490934,16.14123848,0.015375703,4.108722036
6.849722222,125,0.314188889,69.55555556,232.2279481,0.026313788,17.40309207,0.027511192,1.473008176,15.69086716,0.012073528,2.30095635
7.135277778,125,0.315333333,71,236.3907793,0.033707774,18.82525694,0.027668383,1.424000624,16.2167611,0.012680649,2.915916246
7.420555556,125,0.321755556,72.88888889,237.7145678,0.011016853,15.76019282,0.028427462,1.670366264,16.05261373,0.007575196,4.348359685
7.706111111,125,0.324444444,74.44444444,240.5779411,0.003396316,19.58339614,0.02824942,1.537594723,16.22686538,0.012229998,2.896037573
7.991388889,125,0.325277778,76.33333333,245.7885595,0.025330022,15.10301412,0.028322654,1.683250823,16.24408836,0.010363282,2.767936011
8.276944444,125,0.326255556,78.11111111,251.2521028,0.019479535,17.68349846,0.028551042,1.558528904,17.21159647,0.016932644,3.39534669
8.562222222,125,0.331833333,79.33333333,251.2151116,0.012681531,13.75805529,0.029204561,1.58113883,17.55734499,0.014017285,3.378980901
8.847777778,125,0.332588889,81.11111111,255.8932546,-0.002147621,8.328534871,0.02884875,1.522465512,17.62656111,0.013662616,5.411329266
9.133055556,125,0.331588889,82.55555556,260.9968157,0.014174467,13.05161993,0.02855688,1.590869007,17.83508027,0.008531065,3.630467227
9.418333333,125,0.333855556,83.77777778,263.942195,0.008767151,13.02495659,0.029025588,1.469861839,19.058839,0.012217373,3.352932745
9.703888889,125,0.337077778,84.88888889,264.1797713,-0.006489994,10.56968655,0.02856388,1.388888889,18.58835392,0.01321665,2.938706714
9.989166667,125,0.336111111,86.44444444,269.7314053,0.009836636,8.983098835,0.028205459,1.313510046,19.09070453,0.014686869,3.89868183
